cell_id,group,cycle,max_capacity_Ah,max_energy_Wh,voltage_max,voltage_min,voltage_mean,temp_mean,temp_max,duration_s,current_mean,current_std
001-4,G1,401,46.419831,135.65373,3.504398,2.5,2.9222611336722486,49.471411483253576,55.3,3342.3,-49.98237571471292,0.8648234729709209
001-4,G1,451,44.36408,127.587361,3.476101,2.5,2.8758689086357943,34.8770337922403,46.1,3194.3,-49.98178037015019,0.8843610480656576
001-4,G1,501,44.488206,138.376429,3.450111,2.5,3.110220379095164,30.0983151326053,37.7,3203.2,-49.981763552886115,0.8830522452076351
001-4,G1,551,45.540071,144.057398,3.504398,2.5,3.163256230487805,39.911371951219515,42.6,3279.0,-49.98210799359756,0.8729627426784387
001-4,G1,601,44.325644,139.043248,3.512088,2.5,3.136719007203257,30.39420607579079,33.5,3191.5,-49.981662094895086,0.8848095873007527
001-4,G1,651,41.976602,130.141888,3.440883,2.5,3.100178111111111,25.41078042328043,31.5,3022.4,-49.98075764980159,0.909162935051349
001-4,G1,701,43.257566,135.621547,3.486097,0.0,3.1439372362814715,30.664299548095546,33.7,3114.6,-49.96504191801162,1.270164822232822
001-4,G1,751,41.731166,130.843416,3.502553,2.5,3.135281178310047,28.161377245508984,31.0,3004.7,-49.980748021290765,0.9118494060323334
001-4,G1,801,38.875342,120.05725,3.514549,2.5,3.088040043555873,23.443305962156373,29.4,2799.1,-49.97949535487328,0.9446625214402034
001-4,G1,851,39.397098,123.476208,3.494556,2.5,3.1340214964763917,30.149788583509512,32.9,2836.7,-49.97981128188868,0.938588271765518
001-5,G1,1,55.828863,176.251305,3.27233,2.500461,3.156872339965183,32.55185277294205,39.6,4019.7,-49.997345404625705,0.0021529423551835125
001-5,G1,51,55.185264,175.846562,3.418738,2.5,3.1863252050314466,37.782088050314464,40.5,3973.5,-49.984819098867916,0.7930134243662156
001-5,G1,101,54.379891,172.492157,3.370448,2.5,3.1718827312404287,32.48808065339459,37.2,3915.5,-49.971914033180184,1.1294312602922674
001-5,G1,151,54.025419,172.138633,3.420737,2.5,3.1861827548188124,37.02220508866615,39.4,3889.9,-49.98450321151375,0.8015865838816247
001-5,G1,201,53.601925,170.723511,3.423505,2.5,3.1848685964775965,36.630328930328936,39.1,3859.4,-49.98448794949494,0.8046362481082641
001-5,G1,251,52.807036,166.919377,3.373985,2.5,3.16077606997559,29.702468131272038,34.9,3802.2,-49.98377486411717,0.823432049197596
001-5,G1,301,52.819566,168.026254,3.432886,2.5,3.180920118528252,35.10930354796321,37.3,3803.1,-49.98427259684625,0.8105655006037178
001-5,G1,351,52.692571,167.824068,3.448265,2.5,3.184906480632411,36.840184453227934,38.9,3794.0,-49.98418996389986,0.8115413546182012
001-5,G1,401,52.216734,166.203473,3.464567,2.5,3.18284894549322,36.2614996011699,38.6,3759.7,-49.984075164583885,0.8152616604523893
001-5,G1,451,51.558142,162.340751,3.410894,2.5,3.148516457189015,27.189714593430267,33.2,3712.3,-49.98391767528271,0.8204043588790445
001-5,G1,501,51.10463,160.121881,3.416739,2.5,3.1331061784841077,28.979326270035315,35.7,3679.6,-49.983815120076066,0.8240434933017303
001-5,G1,551,50.162008,159.11452,3.42612,2.5,3.1719077583725435,28.103404373097153,30.5,3611.7,-49.983490911984504,0.8317627452274222
001-5,G1,601,49.664769,157.307064,3.427657,2.5,3.167310653620352,27.766620072686607,30.4,3575.9,-49.983378411518025,0.8359683794769591
001-5,G1,651,49.522115,157.071627,3.434578,2.5,3.171629693860387,28.301401738155313,30.4,3565.7,-49.98339981188674,0.8372019184346059
001-6,G1,1,55.257028,165.741527,3.207277,2.500154,2.999373350753769,39.73118090452261,48.7,3978.5,-49.9973957384422,0.0028203072318114834
001-6,G1,51,52.26675,164.695527,3.48256,2.5,3.150887307038513,42.82350597609562,44.7,3763.3,-49.98415368446216,0.81489402701467
001-6,G1,101,51.345518,161.221208,3.472256,2.5,3.1398742742022714,33.723228772309355,39.2,3696.9,-49.98389717063277,0.8221817075184664
001-6,G1,151,51.748443,163.050461,3.523776,2.5,3.1507800029514357,42.41537429568017,43.8,3725.9,-49.983942901529375,0.8190074371185037
001-6,G1,201,51.360522,161.909622,3.526083,2.5,3.152201922432432,41.18616216216216,43.1,3698.0,-49.98391456756757,0.822141118118651
001-6,G1,251,50.325551,156.249,3.488097,2.5,3.104695573612684,32.68836353340883,40.1,3623.5,-49.98323456540204,0.8411564254014797
001-6,G1,301,50.8395,159.868009,3.533311,2.5,3.1444414628618245,40.46455488803932,43.0,3660.5,-49.983659233478974,0.8261501093165609
001-6,G1,351,50.743297,159.244448,3.531773,2.5,3.1381212150478794,41.9986046511628,44.6,3653.5,-49.983755291655264,0.826885848428364
001-6,G1,401,50.283579,157.641029,3.536694,2.5,3.1349083017669797,41.48854224185533,44.2,3620.4,-49.98365524213141,0.8307984176841846
001-6,G1,451,49.110115,150.413083,3.483944,2.5,3.0627284761096973,31.193553859202716,39.0,3535.9,-49.98309037461125,0.8406429322567557
001-6,G1,501,49.08182,153.967296,3.45334,2.5,3.136897353041019,29.49397454031117,37.4,3534.0,-49.98311517340876,0.8407964222027831
001-6,G1,551,49.791204,158.393344,3.493172,2.5,3.1809136885977143,40.0792026763312,42.7,3585.0,-49.98344003847226,0.8349290041919584
001-6,G1,601,49.186537,154.979696,3.509473,2.5,3.1507153084956254,29.521478972622074,32.4,3541.5,-49.983349839401626,0.8400072315201363
001-6,G1,651,47.906943,149.546286,3.439345,2.5,3.121434168067227,24.924166908142563,31.1,3449.3,-49.982984385685306,0.8510987896092568
001-6,G1,701,48.374504,152.406579,3.470565,2.5,3.150504679391504,27.807319173363954,31.0,3483.0,-49.983084108783004,0.8470906997583537
001-6,G1,751,47.874553,150.502111,3.494094,2.5,3.1436317856728544,26.109483758700698,28.3,3447.0,-49.982979773491884,0.851438861332594
001-6,G1,801,47.679688,149.508824,3.472718,2.5,3.135641751892836,26.06721025043681,28.9,3433.0,-49.982880636866625,0.8532972594338637
001-6,G1,851,47.182713,148.713078,3.486097,2.5,3.1516610367755225,28.96148867313916,32.6,3397.2,-49.98267377228596,0.8576428313373684
001-7,G1,1,55.136039,173.534383,3.265495,2.5,3.1472813084865274,33.371241500881396,40.2,3969.8,-49.99744445076807,0.002315195982864719
001-7,G1,51,52.998199,167.018158,3.477947,2.5,3.151342348965156,41.80002619858528,44.1,3816.0,-49.984292036154045,0.8092618530414093
001-7,G1,101,52.336885,163.851851,3.473487,2.5,3.130567183289125,33.76411140583555,39.0,3768.3,-49.984102879310335,0.8143496254266764
001-7,G1,151,52.609075,165.843451,3.522546,2.5,3.15232891290578,41.037212984956454,42.3,3788.0,-49.98413715703351,0.8125136870523393
001-7,G1,201,52.363748,165.203583,3.546998,2.5,3.15476351776246,40.05180275715801,41.7,3770.3,-49.98417072879109,0.8139837606616199
001-7,G1,251,51.621931,161.199606,3.478869,2.5,3.1228841309523805,31.361295681063122,37.3,3716.9,-49.983575433831675,0.8319084515592525
001-7,G1,301,51.872022,162.924235,3.525468,2.5,3.1408265136509637,43.45674518201284,44.5,3734.8,-49.983890220021415,0.8181110288875586
001-7,G1,351,51.790831,163.215883,3.521161,2.500461,3.151410701608579,45.165790884718504,46.8,3729.0,-49.98392864369973,0.8187948554559047
001-7,G1,401,51.394968,161.77019,3.552534,2.5,3.147473071582928,43.52055645596974,44.8,3700.5,-49.98384514586709,0.8217943313220879
001-7,G1,451,50.699487,157.825094,3.476563,2.5,3.11282823083242,29.737048192771084,36.8,3650.5,-49.98370212486309,0.8274004825039274
001-7,G1,501,50.302252,157.159333,3.465182,2.5,3.1242369837151536,29.719873033397736,36.5,3621.9,-49.983577604747445,0.8306437717543628
001-7,G1,551,50.647301,159.223796,3.525929,2.5,3.1436853733552628,42.19657346491228,43.3,3646.7,-49.983633306469294,0.8280082784369649
001-7,G1,601,50.274736,157.161157,3.55315,2.5,3.1259986412593204,34.01996685998343,35.4,3619.9,-49.98363157056062,0.8308734649145956
001-7,G1,651,49.531012,153.084455,3.474871,2.5,3.0905420451233185,26.22017937219731,32.4,3566.3,-49.98337066479821,0.8371439683939372
